#1.2													
20812	12												
Name	Description	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Polyp_1	Polyp_2	Polyp_3	Polyp_4	Polyp_5	Polyp_6
SEC24B-AS1	na	1.281148851	1.330458243	0.369613412	3.069652159	1.1129204	3.593168384	2.459330688	1.107326585	2.135646832	1.024152648	0.77788684	2.86874628
A1BG	na	-0.30381365	2.915420743	0.369613412	3.069652159	-0.472042101	3.593168384	0.137402593	-1.214601509	-0.186281263	1.024152648	0.77788684	2.383319453
A1CF	na	-0.30381365	1.330458243	0.369613412	3.069652159	-0.472042101	2.008205883	0.137402593	-1.214601509	-0.186281263	1.024152648	0.77788684	0.061391358
GGACT	na	-0.30381365	1.330458243	0.369613412	3.069652159	-0.472042101	2.008205883	0.137402593	-1.214601509	-0.186281263	1.024152648	0.77788684	0.061391358
A2M	na	7.900757494	8.696780457	7.056113939	3.069652159	8.063233276	4.330133978	8.928565482	9.282252268	8.387365925	8.972519879	7.833169275	9.182924875
A2ML1	na	-0.30381365	1.330458243	0.369613412	3.069652159	-0.472042101	2.008205883	0.137402593	-1.214601509	-0.186281263	1.024152648	0.77788684	0.061391358
A2MP1	na	-0.30381365	1.330458243	0.369613412	3.069652159	1.1129204	2.008205883	0.137402593	1.107326585	-0.186281263	1.024152648	4.237318458	0.061391358
A4GALT	na	3.155617969	4.500383244	4.761930835	3.069652159	2.987389518	2.008205883	4.385330107	5.904339563	6.321513377	4.931043243	3.947811841	5.894281372
A4GNT	na	-0.30381365	1.330458243	0.369613412	3.069652159	-0.472042101	2.008205883	0.137402593	-1.214601509	-0.186281263	1.024152648	0.77788684	0.061391358
AAAS	na	2.503541272	4.500383244	2.691541507	3.069652159	3.434848495	2.008205883	1.722365094	4.618288505	3.273150356	2.609115148	0.77788684	4.148854199
AACS	na	4.219748306	5.722775665	5.227594407	3.069652159	2.987389518	3.593168384	5.494954598	6.004567011	6.847141739	4.483584266	4.237318458	6.290210049
AADAC	na	-0.30381365	1.330458243	2.691541507	3.069652159	1.1129204	2.008205883	0.137402593	0.370360991	5.595078451	3.346080743	0.77788684	0.061391358
AADACL2	na	-0.30381365	1.330458243	1.954575913	3.069652159	-0.472042101	2.008205883	0.137402593	1.592753413	-0.186281263	1.024152648	0.77788684	0.061391358
AADACL3	na	-0.30381365	1.330458243	0.369613412	3.069652159	-0.472042101	2.008205883	0.137402593	-1.214601509	-0.186281263	1.024152648	0.77788684	0.061391358
AADACL4	na	-0.30381365	1.330458243	0.369613412	3.069652159	-0.472042101	2.008205883	0.137402593	-1.214601509	-0.186281263	1.024152648	0.77788684	0.061391358
AADAT	na	3.155617969	1.330458243	1.954575913	3.069652159	4.171814089	2.008205883	2.944757515	2.485838209	3.514158455	1.024152648	3.585241762	0.061391358
AAGAB	na	5.368611692	5.974314432	6.042038754	3.069652159	7.404474846	4.330133978	6.580346089	5.65576321	5.486144079	5.668008837	5.987340205	5.61598021
AAK1	na	1.281148851	1.330458243	0.369613412	3.069652159	1.1129204	2.008205883	0.137402593	1.592753413	2.135646832	1.024152648	0.77788684	0.061391358
AAMP	na	5.310896194	3.652386338	5.124500914	3.069652159	5.019810995	3.593168384	5.181796713	6.285244378	7.450343358	5.41647007	5.635867835	6.365172106
AANAT	na	-0.30381365	1.330458243	2.691541507	3.069652159	-0.472042101	2.008205883	1.722365094	-1.214601509	-0.186281263	1.024152648	0.77788684	0.061391358
AARS	na	4.219748306	5.578385756	5.227594407	3.069652159	4.482154209	3.593168384	6.020045643	6.72203643	6.080505278	4.483584266	5.532774342	7.577091196
AARS2	na	3.783649191	4.137813165	3.539538414	3.069652159	1.849885994	2.008205883	2.459330688	3.82979261	3.514158455	4.483584266	3.099814934	3.231316359
PTGES3L-AARSD1	na	-0.30381365	1.330458243	0.369613412	3.069652159	-0.472042101	2.008205883	0.137402593	-1.214601509	-0.186281263	1.024152648	0.77788684	0.061391358
AASDH	na	4.981588569	3.652386338	3.539538414	3.069652159	5.142667743	4.815560805	3.596834212	3.308960447	2.135646832	5.111615489	3.947811841	0.061391358
AASDHPPT	na	4.981588569	6.688010247	6.30035075	3.069652159	4.171814089	3.593168384	4.995383588	3.42925468	6.223109673	4.483584266	3.947811841	3.231316359
AASS	na	4.554167345	3.652386338	3.829045031	3.069652159	2.6978829	2.008205883	3.837842311	3.914681507	4.20603616	3.83150757	6.204151594	3.520822977
AATF	na	6.171919781	6.188439238	5.414007531	3.069652159	5.756776589	4.815560805	6.287149713	7.182003272	5.790998661	8.372880802	7.152926271	6.504334854
AATK	na	3.155617969	1.330458243	3.176968334	3.069652159	2.335312821	3.593168384	0.137402593	2.485838209	1.398681238	1.024152648	3.099814934	3.231316359
ABAT	na	2.503541272	4.789889861	0.369613412	3.069652159	3.61542074	2.008205883	3.307327595	4.211663245	3.901181578	4.194077649	3.585241762	3.968281954
